Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
279,Brook Lopez\lopezbr01,C,35,MIL,42,42,31.5,4.9,10.0,0.487,1.6,5.0,0.33,3.2,5.0,0.642,0.569,1.5,1.8,0.805,1.4,3.9,5.3,1.6,0.6,2.9,0.9,2.7,12.9
280,Robin Lopez\lopezro01,C,35,MIL,11,0,2.9,0.3,0.6,0.429,0.2,0.5,0.4,0.1,0.2,0.5,0.571,0.2,0.2,1.0,0.1,0.2,0.3,0.3,0.0,0.1,0.1,0.3,0.9
281,Kevin Love\loveke01,PF,35,MIA,33,5,18.7,3.1,7.0,0.443,1.6,4.8,0.344,1.5,2.2,0.658,0.561,2.0,2.5,0.774,1.2,5.5,6.6,2.5,0.4,0.2,0.8,1.9,9.8
282,Kyle Lowry\lowryky01,PG,37,MIA,37,35,28.0,2.8,6.5,0.426,1.7,4.4,0.385,1.1,2.2,0.506,0.554,0.9,1.1,0.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2
283,Seth Lundy\lundyse01,SF,23,ATL,8,0,6.1,0.5,2.0,0.25,0.4,1.6,0.231,0.1,0.4,0.333,0.344,0.4,0.5,0.75,0.1,0.5,0.6,0.0,0.0,0.0,0.1,0.8,1.8
284,Trey Lyles\lylestr01,PF,28,SAC,27,0,20.4,2.3,5.3,0.444,1.5,3.9,0.387,0.8,1.3,0.611,0.588,0.7,1.2,0.625,0.9,3.9,4.8,1.3,0.1,0.3,0.6,1.6,6.9
285,Théo Maledon\maledth01,PG,22,CHO,13,1,15.4,1.5,5.1,0.288,0.4,2.3,0.167,1.1,2.8,0.389,0.326,0.8,0.9,0.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2
286,Sandro Mamukelashvili\mamuksa01,C,24,SAS,24,0,7.1,0.9,2.3,0.393,0.3,1.3,0.258,0.6,1.0,0.56,0.464,0.5,0.7,0.75,0.7,1.4,2.0,1.0,0.2,0.3,0.3,0.8,2.7
287,Terance Mann\mannte01,SG,27,LAC,35,31,25.1,2.8,6.3,0.439,0.9,3.1,0.296,1.9,3.2,0.575,0.511,0.8,1.1,0.763,1.2,2.1,3.2,1.8,0.6,0.3,0.6,1.8,7.3
288,Tre Mann\manntr01,PG,22,OKC,13,0,9.2,1.5,3.1,0.5,0.6,1.5,0.421,0.9,1.6,0.571,0.6,0.1,0.1,1.0,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8
289,Boban Marjanović\marjabo01,C,35,HOU,6,0,6.2,1.2,3.0,0.389,0.0,0.3,0.0,1.2,2.7,0.438,0.389,0.0,0.3,0.0,0.8,1.7,2.5,0.7,0.0,0.2,0.0,0.7,2.3
290,Lauri Markkanen\markkla01,PF,26,UTA,34,34,32.7,8.0,16.1,0.496,3.1,8.0,0.393,4.8,8.1,0.599,0.594,4.9,5.6,0.874,2.4,6.4,8.9,1.9,0.9,0.6,1.1,1.9,24.0
291,Naji Marshall\marshna01,SF,26,NOP,34,1,18.5,2.7,5.9,0.455,0.9,2.4,0.383,1.8,3.6,0.504,0.532,1.5,1.9,0.825,1.1,2.6,3.6,1.9,0.6,0.2,1.1,1.5,7.9
292,Caleb Martin\martica02,SF,28,MIA,26,12,26.8,4.0,8.9,0.453,1.2,3.0,0.385,2.9,5.9,0.487,0.517,1.3,1.7,0.733,1.2,3.7,4.8,2.3,0.7,0.3,1.3,2.0,10.5
293,Cody Martin\martico01,SF,28,CHO,11,5,26.0,2.6,7.4,0.358,1.0,3.2,0.314,1.6,4.2,0.391,0.426,0.5,1.1,0.5,1.1,2.1,3.2,2.5,1.5,1.0,1.2,1.7,6.8
